protein,log2_fold_change,infected_vs_control_p.adj
G1STT8,-0.684060565,0.801
G1T060,0.612981658,0.802
G1TCW1,-1.418097857,0.802
G1THL2,1.349698485,0.802
G1U115,0.974276144,0.802
G1SQA1,0.804532112,0.803
O02767,0.65897954,0.803
A0A5F9D9H1,1.675822048,0.804
A0A5F9C422,1.611445334,0.806
G1SNJ7,0.757699302,0.806
G1U5Q7,0.628219254,0.806
G1TFL3,0.782327373,0.808
U3KLZ3,-2.787210504,0.808
A0A5F9CTG8,1.034018158,0.809
G1SIP1,-0.947260281,0.809
G1U9R4,1.471586318,0.809
A0A5F9D3C1,-0.656094925,0.811
A0A5S8I4G7,1.151193883,0.811
A0A5F9DGI5,3.399237382,0.812
G1T6D1,0.781200156,0.812
G1SPT2,-0.738501691,0.813
P05176,1.2988089,0.813
A0A5F9DD98,1.281064343,0.814
G1SJQ8,5.088018766,0.814
G1T1G4,1.040215874,0.814
G1TXU8,0.987873619,0.814
G1U9Q9,-1.252188659,0.814
P27170,-0.93219387,0.814
A0A5F9C3B5,-0.705562597,0.815
A0A5F9CZI7,0.549358055,0.815
A0A5F9DF00,-2.423169997,0.816
G1SWI7,0.618259569,0.817
G1TB64,1.9635614,0.817
G1U6R8,-1.032879799,0.817
A0A5F9D4F9,0.641925962,0.818
A0A5F9DPU4,0.597976672,0.819
G1T720,-3.044348389,0.819
G1SN09,0.696446832,0.82
A0A5F9CNW6,-0.68228897,0.821
G1SCK0,0.85346135,0.821
G1SFD2,0.613314745,0.821
G1T0M2,-1.54358453,0.821
G1TU13,0.713917406,0.821
G1TXX4,0.772069124,0.821
A0A5F9DAJ2,0.691148193,0.822
G1TAH7,-0.645753576,0.822
G1ST15,-1.162407664,0.823
G1SF06,1.091607523,0.825
G1TFW8,1.0953221,0.825
A0A5F9D4P0,-0.566075612,0.826
G1STT3,-1.997696073,0.826
A0A5F9DHU0,-2.206875008,0.827
G1T3I0,-1.014120006,0.827
G1SKT3,1.422888161,0.828
G1SPK4,0.654108507,0.828
G1U9U1,-0.75755665,0.828
G1T0T2,-1.476564291,0.83
G1T361,-0.701469644,0.83
G1TA47,-0.622314652,0.83
G1TIG2,-0.900175236,0.83
G1TJP8,-0.97644451,0.83
A0A5F9DDX0,0.802412429,0.831
G1SKT4,-0.650861111,0.831
A0A5F9DPH3,0.827494132,0.832
G1TBL1,0.988872243,0.833
A0A5F9DIZ4,-0.84552649,0.834
A0A5F9DKA9,1.179182058,0.835
P13491,-0.534250696,0.835
A0A5F9CPU2,0.588778406,0.836
A0A5F9CPX4,-1.552635547,0.836
G1SM50,2.798254228,0.836
G1T524,2.439758797,0.836
G1T9V1,-0.773983053,0.836
G1U045,2.276313946,0.836
A0A5F9DNW8,-0.631231699,0.837
A0A5F9CJ90,1.702693215,0.838
G1SG72,1.759457875,0.838
G1TFC9,1.131509474,0.838
G1TFE0,0.59159786,0.84
G1U3G0,1.544481619,0.84
A0A5F9DSQ7,0.877765054,0.841
G1SK67,1.676795061,0.841
G1SN77,-0.959346272,0.841
G1TAN9,-0.590000315,0.841
G1SQA8,-0.576159559,0.842
G1T5N5,0.509904219,0.842
