"","name","ID","infected_vs_control_p.val","infected_vs_control_p.adj","significant","infected_vs_control_significant","infected_vs_control_ratio","control_centered","infected_centered"
"184","tr|A0A5F9CCM8|A0A5F9CCM8_RABIT","tr|A0A5F9CCM8|A0A5F9CCM8_RABIT",0.02508230997083,0.732,FALSE,FALSE,4.43,-2.22,2.22
"185","tr|A0A5F9CCV3|A0A5F9CCV3_RABIT","tr|A0A5F9CCV3|A0A5F9CCV3_RABIT",0.137630704632479,0.871,FALSE,FALSE,-1.75,0.874,-0.874
"186","tr|A0A5F9CCX8|A0A5F9CCX8_RABIT","tr|A0A5F9CCX8|A0A5F9CCX8_RABIT",0.402083029088727,0.915,FALSE,FALSE,-0.35,0.175,-0.175
"187","tr|A0A5F9CD14|A0A5F9CD14_RABIT","tr|A0A5F9CD14|A0A5F9CD14_RABIT",0.562426052130855,0.925,FALSE,FALSE,-0.228,0.114,-0.114
"188","tr|A0A5F9CDI4|A0A5F9CDI4_RABIT","tr|A0A5F9CDI4|A0A5F9CDI4_RABIT",0.331540513846574,0.908,FALSE,FALSE,1.23,-0.613,0.613
"189","tr|A0A5F9CE16|A0A5F9CE16_RABIT","tr|A0A5F9CE16|A0A5F9CE16_RABIT",0.328927879560287,0.908,FALSE,FALSE,0.378,-0.189,0.189
"190","tr|A0A5F9CEB1|A0A5F9CEB1_RABIT","tr|A0A5F9CEB1|A0A5F9CEB1_RABIT",0.584439009434997,0.926,FALSE,FALSE,-0.141,0.0706,-0.0706
"191","tr|A0A5F9CED7|A0A5F9CED7_RABIT","tr|A0A5F9CED7|A0A5F9CED7_RABIT",0.648077336811606,0.929,FALSE,FALSE,0.119,-0.0597,0.0597
"192","tr|A0A5F9CEF1|A0A5F9CEF1_RABIT","tr|A0A5F9CEF1|A0A5F9CEF1_RABIT",0.00561984689489938,0.466,FALSE,FALSE,1.46,-0.732,0.732
"193","tr|A0A5F9CFF7|A0A5F9CFF7_RABIT","tr|A0A5F9CFF7|A0A5F9CFF7_RABIT",0.227207643113705,0.894,FALSE,FALSE,-0.512,0.256,-0.256
"194","tr|A0A5F9CFW2|A0A5F9CFW2_RABIT","tr|A0A5F9CFW2|A0A5F9CFW2_RABIT",0.458420875847412,0.919,FALSE,FALSE,-0.288,0.144,-0.144
"195","tr|A0A5F9CFW9|A0A5F9CFW9_RABIT","tr|A0A5F9CFW9|A0A5F9CFW9_RABIT",0.322251334507531,0.907,FALSE,FALSE,0.544,-0.272,0.272
"196","tr|A0A5F9CG95|A0A5F9CG95_RABIT","tr|A0A5F9CG95|A0A5F9CG95_RABIT",0.0195584200812927,0.699,FALSE,FALSE,-2.67,1.33,-1.33
"197","tr|A0A5F9CGT3|A0A5F9CGT3_RABIT","tr|A0A5F9CGT3|A0A5F9CGT3_RABIT",0.0271061482011519,0.741,FALSE,FALSE,0.876,-0.438,0.438
"198","tr|A0A5F9CH78|A0A5F9CH78_RABIT","tr|A0A5F9CH78|A0A5F9CH78_RABIT",0.208761720400049,0.891,FALSE,FALSE,1.22,-0.609,0.609
"199","tr|A0A5F9CHF0|A0A5F9CHF0_RABIT","tr|A0A5F9CHF0|A0A5F9CHF0_RABIT",0.0234932938751433,0.723,FALSE,FALSE,-1.95,0.973,-0.973
"200","tr|A0A5F9CHN8|A0A5F9CHN8_RABIT","tr|A0A5F9CHN8|A0A5F9CHN8_RABIT",0.00513913332051801,0.446,FALSE,FALSE,1.75,-0.875,0.875
"201","tr|A0A5F9CHQ5|A0A5F9CHQ5_RABIT","tr|A0A5F9CHQ5|A0A5F9CHQ5_RABIT",0.00185693160521431,0.234,FALSE,FALSE,-1.47,0.733,-0.733
"202","tr|A0A5F9CHW6|A0A5F9CHW6_RABIT","tr|A0A5F9CHW6|A0A5F9CHW6_RABIT",0.0304997908919671,0.755,FALSE,FALSE,0.883,-0.441,0.441
"203","tr|A0A5F9CHX0|A0A5F9CHX0_RABIT","tr|A0A5F9CHX0|A0A5F9CHX0_RABIT",0.109400053685407,0.859,FALSE,FALSE,1.04,-0.52,0.52
"204","tr|A0A5F9CJ08|A0A5F9CJ08_RABIT","tr|A0A5F9CJ08|A0A5F9CJ08_RABIT",0.274487614423417,0.902,FALSE,FALSE,1.93,-0.966,0.966
"205","tr|A0A5F9CJ90|A0A5F9CJ90_RABIT","tr|A0A5F9CJ90|A0A5F9CJ90_RABIT",0.07779962663267,0.838,FALSE,FALSE,1.7,-0.851,0.851
"206","tr|A0A5F9CJG4|A0A5F9CJG4_RABIT","tr|A0A5F9CJG4|A0A5F9CJG4_RABIT",0.359481825485771,0.911,FALSE,FALSE,1,-0.502,0.502
"207","tr|A0A5F9CJJ5|A0A5F9CJJ5_RABIT","tr|A0A5F9CJJ5|A0A5F9CJJ5_RABIT",0.658167335288446,0.93,FALSE,FALSE,-0.131,0.0655,-0.0655
"208","tr|A0A5F9CJM5|A0A5F9CJM5_RABIT","tr|A0A5F9CJM5|A0A5F9CJM5_RABIT",0.383479659181996,0.913,FALSE,FALSE,-1.19,0.597,-0.597
"209","tr|A0A5F9CJQ2|A0A5F9CJQ2_RABIT","tr|A0A5F9CJQ2|A0A5F9CJQ2_RABIT",0.000942983706486727,0.138,FALSE,FALSE,-3.95,1.98,-1.98
"210","tr|A0A5F9CJW0|A0A5F9CJW0_RABIT","tr|A0A5F9CJW0|A0A5F9CJW0_RABIT",0.0477836426646194,0.8,FALSE,FALSE,-1.96,0.978,-0.978
"211","tr|A0A5F9CKD8|A0A5F9CKD8_RABIT","tr|A0A5F9CKD8|A0A5F9CKD8_RABIT",0.124966633172406,0.866,FALSE,FALSE,-0.659,0.329,-0.329
"212","tr|A0A5F9CL34|A0A5F9CL34_RABIT","tr|A0A5F9CL34|A0A5F9CL34_RABIT",0.545837044203806,0.924,FALSE,FALSE,0.289,-0.145,0.145
"213","tr|A0A5F9CLC1|A0A5F9CLC1_RABIT","tr|A0A5F9CLC1|A0A5F9CLC1_RABIT",0.0224363336500774,0.717,FALSE,FALSE,0.847,-0.424,0.424
"214","tr|A0A5F9CLF4|A0A5F9CLF4_RABIT","tr|A0A5F9CLF4|A0A5F9CLF4_RABIT",0.599900185914987,0.927,FALSE,FALSE,0.393,-0.197,0.197
"215","tr|A0A5F9CLG3|A0A5F9CLG3_RABIT","tr|A0A5F9CLG3|A0A5F9CLG3_RABIT",0.538744811504434,0.924,FALSE,FALSE,0.236,-0.118,0.118
"216","tr|A0A5F9CLL5|A0A5F9CLL5_RABIT","tr|A0A5F9CLL5|A0A5F9CLL5_RABIT",0.110610621961429,0.86,FALSE,FALSE,0.789,-0.394,0.394
"217","tr|A0A5F9CLN2|A0A5F9CLN2_RABIT","tr|A0A5F9CLN2|A0A5F9CLN2_RABIT",0.571900222139669,0.926,FALSE,FALSE,-0.192,0.0958,-0.0958
"218","tr|A0A5F9CLT4|A0A5F9CLT4_RABIT","tr|A0A5F9CLT4|A0A5F9CLT4_RABIT",0.0139807787917487,0.647,FALSE,FALSE,-4.28,2.14,-2.14
"219","tr|A0A5F9CMG0|A0A5F9CMG0_RABIT","tr|A0A5F9CMG0|A0A5F9CMG0_RABIT",0.00239708232155606,0.269,FALSE,FALSE,3.14,-1.57,1.57
"220","tr|A0A5F9CMJ3|A0A5F9CMJ3_RABIT","tr|A0A5F9CMJ3|A0A5F9CMJ3_RABIT",0.0235912220712036,0.724,FALSE,FALSE,1.12,-0.558,0.558
"221","tr|A0A5F9CMN8|A0A5F9CMN8_RABIT","tr|A0A5F9CMN8|A0A5F9CMN8_RABIT",0.530074334802363,0.924,FALSE,FALSE,0.19,-0.095,0.095
"222","tr|A0A5F9CMY2|A0A5F9CMY2_RABIT","tr|A0A5F9CMY2|A0A5F9CMY2_RABIT",0.767046100049126,0.934,FALSE,FALSE,-0.118,0.059,-0.059
"223","tr|A0A5F9CN86|A0A5F9CN86_RABIT","tr|A0A5F9CN86|A0A5F9CN86_RABIT",0.00189620309561106,0.237,FALSE,FALSE,1.49,-0.746,0.746
"224","tr|A0A5F9CNC6|A0A5F9CNC6_RABIT","tr|A0A5F9CNC6|A0A5F9CNC6_RABIT",0.727460155945383,0.933,FALSE,FALSE,-0.125,0.0623,-0.0623
"225","tr|A0A5F9CNV6|A0A5F9CNV6_RABIT","tr|A0A5F9CNV6|A0A5F9CNV6_RABIT",0.00162731571618589,0.214,FALSE,FALSE,1.56,-0.782,0.782
"226","tr|A0A5F9CNW6|A0A5F9CNW6_RABIT","tr|A0A5F9CNW6|A0A5F9CNW6_RABIT",0.0622090711103278,0.821,FALSE,FALSE,-0.682,0.341,-0.341
"227","tr|A0A5F9CNX5|A0A5F9CNX5_RABIT","tr|A0A5F9CNX5|A0A5F9CNX5_RABIT",0.00428727001469985,0.404,FALSE,FALSE,-2.64,1.32,-1.32
"228","tr|A0A5F9CP04|A0A5F9CP04_RABIT","tr|A0A5F9CP04|A0A5F9CP04_RABIT",0.161462109093007,0.879,FALSE,FALSE,-0.655,0.327,-0.327
"229","tr|A0A5F9CP30|A0A5F9CP30_RABIT","tr|A0A5F9CP30|A0A5F9CP30_RABIT",0.0226243619398765,0.718,FALSE,FALSE,-0.953,0.476,-0.476
"230","tr|A0A5F9CPE8|A0A5F9CPE8_RABIT","tr|A0A5F9CPE8|A0A5F9CPE8_RABIT",0.00516001078686288,0.447,FALSE,FALSE,2.21,-1.11,1.11
"231","tr|A0A5F9CPG0|A0A5F9CPG0_RABIT","tr|A0A5F9CPG0|A0A5F9CPG0_RABIT",0.254809502349765,0.899,FALSE,FALSE,-0.502,0.251,-0.251
"232","tr|A0A5F9CPG8|A0A5F9CPG8_RABIT","tr|A0A5F9CPG8|A0A5F9CPG8_RABIT",0.224440332284972,0.894,FALSE,FALSE,0.983,-0.491,0.491
"233","tr|A0A5F9CPT6|A0A5F9CPT6_RABIT","tr|A0A5F9CPT6|A0A5F9CPT6_RABIT",0.559781421964851,0.925,FALSE,FALSE,-0.157,0.0783,-0.0783
"234","tr|A0A5F9CPU2|A0A5F9CPU2_RABIT","tr|A0A5F9CPU2|A0A5F9CPU2_RABIT",0.0758400360487444,0.836,FALSE,FALSE,0.589,-0.294,0.294
"235","tr|A0A5F9CPW7|A0A5F9CPW7_RABIT","tr|A0A5F9CPW7|A0A5F9CPW7_RABIT",0.0346323558818826,0.768,FALSE,FALSE,1,-0.501,0.501
"236","tr|A0A5F9CPX4|A0A5F9CPX4_RABIT","tr|A0A5F9CPX4|A0A5F9CPX4_RABIT",0.0756364329480154,0.836,FALSE,FALSE,-1.55,0.776,-0.776
"237","tr|A0A5F9CQI6|A0A5F9CQI6_RABIT","tr|A0A5F9CQI6|A0A5F9CQI6_RABIT",0.212400548854911,0.891,FALSE,FALSE,0.815,-0.408,0.408
"238","tr|A0A5F9CQN2|A0A5F9CQN2_RABIT","tr|A0A5F9CQN2|A0A5F9CQN2_RABIT",0.590016407532813,0.927,FALSE,FALSE,0.144,-0.072,0.072
"239","tr|A0A5F9CQQ0|A0A5F9CQQ0_RABIT","tr|A0A5F9CQQ0|A0A5F9CQQ0_RABIT",0.0158688818969251,0.667,FALSE,FALSE,1.07,-0.534,0.534
"240","tr|A0A5F9CQS0|A0A5F9CQS0_RABIT","tr|A0A5F9CQS0|A0A5F9CQS0_RABIT",0.00109309108380235,0.154,FALSE,FALSE,2.37,-1.19,1.19
"241","tr|A0A5F9CR64|A0A5F9CR64_RABIT","tr|A0A5F9CR64|A0A5F9CR64_RABIT",0.0472500820653822,0.799,FALSE,FALSE,-1.87,0.936,-0.936
"242","tr|A0A5F9CRE1|A0A5F9CRE1_RABIT","tr|A0A5F9CRE1|A0A5F9CRE1_RABIT",0.00213594929330244,0.254,FALSE,FALSE,-1.65,0.823,-0.823
"243","tr|A0A5F9CRI2|A0A5F9CRI2_RABIT","tr|A0A5F9CRI2|A0A5F9CRI2_RABIT",0.033202210322999,0.764,FALSE,FALSE,0.729,-0.364,0.364
"244","tr|A0A5F9CRJ4|A0A5F9CRJ4_RABIT","tr|A0A5F9CRJ4|A0A5F9CRJ4_RABIT",0.000577480711824476,0.0852,FALSE,FALSE,6.45,-3.23,3.23
"245","tr|A0A5F9CRP6|A0A5F9CRP6_RABIT","tr|A0A5F9CRP6|A0A5F9CRP6_RABIT",0.00202611743718727,0.246,FALSE,FALSE,1.7,-0.848,0.848
"246","tr|A0A5F9CRR4|A0A5F9CRR4_RABIT","tr|A0A5F9CRR4|A0A5F9CRR4_RABIT",0.000997764401950962,0.144,FALSE,FALSE,1.65,-0.823,0.823
"247","tr|A0A5F9CSS2|A0A5F9CSS2_RABIT","tr|A0A5F9CSS2|A0A5F9CSS2_RABIT",0.00314794329030703,0.331,FALSE,FALSE,3.11,-1.56,1.56
"248","tr|A0A5F9CSX2|A0A5F9CSX2_RABIT","tr|A0A5F9CSX2|A0A5F9CSX2_RABIT",0.00107558940240115,0.153,FALSE,FALSE,2.19,-1.09,1.09
"249","tr|A0A5F9CSX3|A0A5F9CSX3_RABIT","tr|A0A5F9CSX3|A0A5F9CSX3_RABIT",0.00855366749035136,0.557,FALSE,FALSE,-1.42,0.711,-0.711
"250","tr|A0A5F9CTB0|A0A5F9CTB0_RABIT","tr|A0A5F9CTB0|A0A5F9CTB0_RABIT",0.171791069497175,0.882,FALSE,FALSE,-1.41,0.706,-0.706
"251","tr|A0A5F9CTE3|A0A5F9CTE3_RABIT","tr|A0A5F9CTE3|A0A5F9CTE3_RABIT",0.0321459739296174,0.761,FALSE,FALSE,1.62,-0.811,0.811
"252","tr|A0A5F9CTG8|A0A5F9CTG8_RABIT","tr|A0A5F9CTG8|A0A5F9CTG8_RABIT",0.0531436148534251,0.809,FALSE,FALSE,1.03,-0.517,0.517
"253","tr|A0A5F9CTH0|A0A5F9CTH0_RABIT","tr|A0A5F9CTH0|A0A5F9CTH0_RABIT",0.377732112557025,0.913,FALSE,FALSE,0.719,-0.36,0.36
"254","tr|A0A5F9CTH1|A0A5F9CTH1_RABIT","tr|A0A5F9CTH1|A0A5F9CTH1_RABIT",0.619421432026191,0.928,FALSE,FALSE,-0.203,0.101,-0.101
"255","tr|A0A5F9CU16|A0A5F9CU16_RABIT","tr|A0A5F9CU16|A0A5F9CU16_RABIT",0.942332986032764,0.94,FALSE,FALSE,-0.023,0.0115,-0.0115
"256","tr|A0A5F9CU63|A0A5F9CU63_RABIT","tr|A0A5F9CU63|A0A5F9CU63_RABIT",0.78300421188515,0.935,FALSE,FALSE,0.0923,-0.0461,0.0461
"257","tr|A0A5F9CU85|A0A5F9CU85_RABIT","tr|A0A5F9CU85|A0A5F9CU85_RABIT",0.459384176306521,0.919,FALSE,FALSE,-0.225,0.112,-0.112
"258","tr|A0A5F9CUG0|A0A5F9CUG0_RABIT","tr|A0A5F9CUG0|A0A5F9CUG0_RABIT",0.641948646048247,0.929,FALSE,FALSE,-0.151,0.0756,-0.0756
"259","tr|A0A5F9CUJ0|A0A5F9CUJ0_RABIT","tr|A0A5F9CUJ0|A0A5F9CUJ0_RABIT",0.00165742880830455,0.217,FALSE,FALSE,1.88,-0.941,0.941
"260","tr|A0A5F9CUN1|A0A5F9CUN1_RABIT","tr|A0A5F9CUN1|A0A5F9CUN1_RABIT",0.0126193886886805,0.63,FALSE,FALSE,1.03,-0.514,0.514
"261","tr|A0A5F9CUP1|A0A5F9CUP1_RABIT","tr|A0A5F9CUP1|A0A5F9CUP1_RABIT",0.0937905969622416,0.85,FALSE,FALSE,-1.86,0.928,-0.928
"262","tr|A0A5F9CUT3|A0A5F9CUT3_RABIT","tr|A0A5F9CUT3|A0A5F9CUT3_RABIT",0.55605104993334,0.925,FALSE,FALSE,0.369,-0.185,0.185
"263","tr|A0A5F9CUW7|A0A5F9CUW7_RABIT","tr|A0A5F9CUW7|A0A5F9CUW7_RABIT",0.144701058596465,0.874,FALSE,FALSE,-0.479,0.239,-0.239
"264","tr|A0A5F9CUY0|A0A5F9CUY0_RABIT","tr|A0A5F9CUY0|A0A5F9CUY0_RABIT",0.0442492398482729,0.793,FALSE,FALSE,0.802,-0.401,0.401
"265","tr|A0A5F9CVA7|A0A5F9CVA7_RABIT","tr|A0A5F9CVA7|A0A5F9CVA7_RABIT",0.0215378406660694,0.712,FALSE,FALSE,-1.66,0.831,-0.831
"266","tr|A0A5F9CVG0|A0A5F9CVG0_RABIT","tr|A0A5F9CVG0|A0A5F9CVG0_RABIT",0.0137808597929034,0.645,FALSE,FALSE,1.65,-0.827,0.827
"267","tr|A0A5F9CW06|A0A5F9CW06_RABIT","tr|A0A5F9CW06|A0A5F9CW06_RABIT",0.553926931621583,0.925,FALSE,FALSE,-0.207,0.104,-0.104
"268","tr|A0A5F9CWM1|A0A5F9CWM1_RABIT","tr|A0A5F9CWM1|A0A5F9CWM1_RABIT",0.00984934044712766,0.584,FALSE,FALSE,-0.981,0.49,-0.49
"269","tr|A0A5F9CWN9|A0A5F9CWN9_RABIT","tr|A0A5F9CWN9|A0A5F9CWN9_RABIT",0.66515778996436,0.93,FALSE,FALSE,0.367,-0.183,0.183
"270","tr|A0A5F9CWV3|A0A5F9CWV3_RABIT","tr|A0A5F9CWV3|A0A5F9CWV3_RABIT",0.749199148997833,0.933,FALSE,FALSE,0.115,-0.0575,0.0575
"271","tr|A0A5F9CX20|A0A5F9CX20_RABIT","tr|A0A5F9CX20|A0A5F9CX20_RABIT",0.169136102295573,0.881,FALSE,FALSE,0.816,-0.408,0.408
"272","tr|A0A5F9CXN7|A0A5F9CXN7_RABIT","tr|A0A5F9CXN7|A0A5F9CXN7_RABIT",0.0182306387090869,0.688,FALSE,FALSE,-1.44,0.721,-0.721
"273","tr|A0A5F9CXT8|A0A5F9CXT8_RABIT","tr|A0A5F9CXT8|A0A5F9CXT8_RABIT",0.470611659548059,0.92,FALSE,FALSE,0.206,-0.103,0.103
"274","tr|A0A5F9CY76|A0A5F9CY76_RABIT","tr|A0A5F9CY76|A0A5F9CY76_RABIT",0.663409018610294,0.93,FALSE,FALSE,0.193,-0.0965,0.0965
"275","tr|A0A5F9CYK3|A0A5F9CYK3_RABIT","tr|A0A5F9CYK3|A0A5F9CYK3_RABIT",0.441562078617279,0.918,FALSE,FALSE,-0.266,0.133,-0.133
"276","tr|A0A5F9CZI7|A0A5F9CZI7_RABIT","tr|A0A5F9CZI7|A0A5F9CZI7_RABIT",0.0570513867444148,0.815,FALSE,FALSE,0.549,-0.275,0.275
"277","tr|A0A5F9CZN0|A0A5F9CZN0_RABIT","tr|A0A5F9CZN0|A0A5F9CZN0_RABIT",0.258208605161033,0.899,FALSE,FALSE,0.369,-0.185,0.185
"278","tr|A0A5F9D0S9|A0A5F9D0S9_RABIT","tr|A0A5F9D0S9|A0A5F9D0S9_RABIT",0.70806336268093,0.932,FALSE,FALSE,-0.176,0.0879,-0.0879
"279","tr|A0A5F9D0W7|A0A5F9D0W7_RABIT","tr|A0A5F9D0W7|A0A5F9D0W7_RABIT",0.0292328155962113,0.75,FALSE,FALSE,0.734,-0.367,0.367
"280","tr|A0A5F9D173|A0A5F9D173_RABIT","tr|A0A5F9D173|A0A5F9D173_RABIT",0.113859917418756,0.861,FALSE,FALSE,-0.637,0.319,-0.319
"281","tr|A0A5F9D1J7|A0A5F9D1J7_RABIT","tr|A0A5F9D1J7|A0A5F9D1J7_RABIT",0.151711591531403,0.876,FALSE,FALSE,0.442,-0.221,0.221
"282","tr|A0A5F9D1L3|A0A5F9D1L3_RABIT","tr|A0A5F9D1L3|A0A5F9D1L3_RABIT",0.1900774505268,0.887,FALSE,FALSE,-0.473,0.236,-0.236
"283","tr|A0A5F9D1S8|A0A5F9D1S8_RABIT","tr|A0A5F9D1S8|A0A5F9D1S8_RABIT",0.553449543775585,0.925,FALSE,FALSE,0.2,-0.1,0.1
"284","tr|A0A5F9D1W2|A0A5F9D1W2_RABIT","tr|A0A5F9D1W2|A0A5F9D1W2_RABIT",0.188934092339135,0.886,FALSE,FALSE,-0.427,0.214,-0.214
"285","tr|A0A5F9D2D2|A0A5F9D2D2_RABIT","tr|A0A5F9D2D2|A0A5F9D2D2_RABIT",0.195875677251756,0.888,FALSE,FALSE,0.59,-0.295,0.295
"286","tr|A0A5F9D2H6|A0A5F9D2H6_RABIT","tr|A0A5F9D2H6|A0A5F9D2H6_RABIT",0.0145099069261613,0.653,FALSE,FALSE,2.32,-1.16,1.16
"287","tr|A0A5F9D2H9|A0A5F9D2H9_RABIT","tr|A0A5F9D2H9|A0A5F9D2H9_RABIT",0.613927835341829,0.928,FALSE,FALSE,-0.143,0.0716,-0.0716
"288","tr|A0A5F9D2K5|A0A5F9D2K5_RABIT","tr|A0A5F9D2K5|A0A5F9D2K5_RABIT",0.13268821683004,0.869,FALSE,FALSE,-1.13,0.565,-0.565
"289","tr|A0A5F9D2Q8|A0A5F9D2Q8_RABIT","tr|A0A5F9D2Q8|A0A5F9D2Q8_RABIT",0.356220268166388,0.911,FALSE,FALSE,-0.308,0.154,-0.154
"290","tr|A0A5F9D2Z0|A0A5F9D2Z0_RABIT","tr|A0A5F9D2Z0|A0A5F9D2Z0_RABIT",0.0135401104225718,0.642,FALSE,FALSE,2.35,-1.17,1.17
"291","tr|A0A5F9D311|A0A5F9D311_RABIT","tr|A0A5F9D311|A0A5F9D311_RABIT",0.0378189595262266,0.778,FALSE,FALSE,2.65,-1.33,1.33
"292","tr|A0A5F9D345|A0A5F9D345_RABIT","tr|A0A5F9D345|A0A5F9D345_RABIT",0.659584653445251,0.93,FALSE,FALSE,-0.223,0.111,-0.111
"293","tr|A0A5F9D3C1|A0A5F9D3C1_RABIT","tr|A0A5F9D3C1|A0A5F9D3C1_RABIT",0.0549717351036822,0.811,FALSE,FALSE,-0.656,0.328,-0.328
"294","tr|A0A5F9D3E2|A0A5F9D3E2_RABIT","tr|A0A5F9D3E2|A0A5F9D3E2_RABIT",0.296699316438456,0.905,FALSE,FALSE,-0.769,0.385,-0.385
"295","tr|A0A5F9D3P7|A0A5F9D3P7_RABIT","tr|A0A5F9D3P7|A0A5F9D3P7_RABIT",0.578258213600511,0.926,FALSE,FALSE,-0.422,0.211,-0.211
"296","tr|A0A5F9D464|A0A5F9D464_RABIT","tr|A0A5F9D464|A0A5F9D464_RABIT",0.849737590652958,0.937,FALSE,FALSE,-0.0496,0.0248,-0.0248
"297","tr|A0A5F9D4F9|A0A5F9D4F9_RABIT","tr|A0A5F9D4F9|A0A5F9D4F9_RABIT",0.0598279968556051,0.818,FALSE,FALSE,0.642,-0.321,0.321
"298","tr|A0A5F9D4P0|A0A5F9D4P0_RABIT","tr|A0A5F9D4P0|A0A5F9D4P0_RABIT",0.0662534411056653,0.826,FALSE,FALSE,-0.566,0.283,-0.283
"299","tr|A0A5F9D4S1|A0A5F9D4S1_RABIT","tr|A0A5F9D4S1|A0A5F9D4S1_RABIT",0.00384390060602393,0.378,FALSE,FALSE,2.85,-1.43,1.43
"300","tr|A0A5F9D4V6|A0A5F9D4V6_RABIT","tr|A0A5F9D4V6|A0A5F9D4V6_RABIT",0.784310698586087,0.935,FALSE,FALSE,-0.116,0.0582,-0.0582
"301","tr|A0A5F9D6A8|A0A5F9D6A8_RABIT","tr|A0A5F9D6A8|A0A5F9D6A8_RABIT",0.606319048360454,0.927,FALSE,FALSE,0.338,-0.169,0.169
"302","tr|A0A5F9D6S8|A0A5F9D6S8_RABIT","tr|A0A5F9D6S8|A0A5F9D6S8_RABIT",0.00889865715945442,0.564,FALSE,FALSE,-1.24,0.62,-0.62
"303","tr|A0A5F9D756|A0A5F9D756_RABIT","tr|A0A5F9D756|A0A5F9D756_RABIT",0.734477566269757,0.933,FALSE,FALSE,1.19,-0.593,0.593
"304","tr|A0A5F9D785|A0A5F9D785_RABIT","tr|A0A5F9D785|A0A5F9D785_RABIT",0.00209914128870914,0.251,FALSE,FALSE,1.6,-0.8,0.8
"305","tr|A0A5F9D7C1|A0A5F9D7C1_RABIT","tr|A0A5F9D7C1|A0A5F9D7C1_RABIT",0.368663389640758,0.912,FALSE,FALSE,-0.446,0.223,-0.223
"306","tr|A0A5F9D7E3|A0A5F9D7E3_RABIT","tr|A0A5F9D7E3|A0A5F9D7E3_RABIT",0.00101369232349759,0.146,FALSE,FALSE,1.62,-0.808,0.808
"307","tr|A0A5F9D7P9|A0A5F9D7P9_RABIT","tr|A0A5F9D7P9|A0A5F9D7P9_RABIT",0.125774500116993,0.867,FALSE,FALSE,1.03,-0.515,0.515
"308","tr|A0A5F9D7Z7|A0A5F9D7Z7_RABIT","tr|A0A5F9D7Z7|A0A5F9D7Z7_RABIT",0.391925468935228,0.914,FALSE,FALSE,-0.298,0.149,-0.149
"309","tr|A0A5F9D8A2|A0A5F9D8A2_RABIT","tr|A0A5F9D8A2|A0A5F9D8A2_RABIT",0.910702208176199,0.939,FALSE,FALSE,-0.0596,0.0298,-0.0298
"310","tr|A0A5F9D8J9|A0A5F9D8J9_RABIT","tr|A0A5F9D8J9|A0A5F9D8J9_RABIT",0.72696183833523,0.933,FALSE,FALSE,0.131,-0.0653,0.0653
"311","tr|A0A5F9D8U8|A0A5F9D8U8_RABIT","tr|A0A5F9D8U8|A0A5F9D8U8_RABIT",0.146621958142933,0.875,FALSE,FALSE,0.932,-0.466,0.466
"312","tr|A0A5F9D911|A0A5F9D911_RABIT","tr|A0A5F9D911|A0A5F9D911_RABIT",0.0137666007819154,0.644,FALSE,FALSE,-1.64,0.818,-0.818
"313","tr|A0A5F9D938|A0A5F9D938_RABIT","tr|A0A5F9D938|A0A5F9D938_RABIT",0.0164874941174364,0.673,FALSE,FALSE,-2.56,1.28,-1.28
"314","tr|A0A5F9D9E8|A0A5F9D9E8_RABIT","tr|A0A5F9D9E8|A0A5F9D9E8_RABIT",0.000801707353219125,0.12,FALSE,FALSE,3.01,-1.5,1.5
"315","tr|A0A5F9D9E9|A0A5F9D9E9_RABIT","tr|A0A5F9D9E9|A0A5F9D9E9_RABIT",0.00811012418693546,0.546,FALSE,FALSE,1,-0.501,0.501
"316","tr|A0A5F9D9F3|A0A5F9D9F3_RABIT","tr|A0A5F9D9F3|A0A5F9D9F3_RABIT",0.317972395774275,0.907,FALSE,FALSE,-0.346,0.173,-0.173
"317","tr|A0A5F9D9G1|A0A5F9D9G1_RABIT","tr|A0A5F9D9G1|A0A5F9D9G1_RABIT",0.204892933267302,0.89,FALSE,FALSE,0.389,-0.195,0.195
"318","tr|A0A5F9D9H1|A0A5F9D9H1_RABIT","tr|A0A5F9D9H1|A0A5F9D9H1_RABIT",0.0501090000490592,0.804,FALSE,FALSE,1.68,-0.838,0.838
"319","tr|A0A5F9D9L7|A0A5F9D9L7_RABIT","tr|A0A5F9D9L7|A0A5F9D9L7_RABIT",0.00143638604523534,0.195,FALSE,FALSE,2.35,-1.18,1.18
"320","tr|A0A5F9D9P0|A0A5F9D9P0_RABIT","tr|A0A5F9D9P0|A0A5F9D9P0_RABIT",0.719131814910194,0.932,FALSE,FALSE,0.148,-0.074,0.074
"321","tr|A0A5F9DA73|A0A5F9DA73_RABIT","tr|A0A5F9DA73|A0A5F9DA73_RABIT",0.489184209366726,0.921,FALSE,FALSE,0.341,-0.171,0.171
"322","tr|A0A5F9DAA7|A0A5F9DAA7_RABIT","tr|A0A5F9DAA7|A0A5F9DAA7_RABIT",0.245955066118024,0.897,FALSE,FALSE,-0.458,0.229,-0.229
"323","tr|A0A5F9DAE7|A0A5F9DAE7_RABIT","tr|A0A5F9DAE7|A0A5F9DAE7_RABIT",0.0119760956835319,0.62,FALSE,FALSE,2.32,-1.16,1.16
"324","tr|A0A5F9DAJ2|A0A5F9DAJ2_RABIT","tr|A0A5F9DAJ2|A0A5F9DAJ2_RABIT",0.062622636487024,0.822,FALSE,FALSE,0.691,-0.346,0.346
