"","name","ID","infected_vs_control_p.val","infected_vs_control_p.adj","significant","infected_vs_control_significant","infected_vs_control_ratio","control_centered","infected_centered"
"1045","tr|G1U153|G1U153_RABIT","tr|G1U153|G1U153_RABIT",0.0132278300615972,0.638,FALSE,FALSE,2.23,-1.12,1.12
"1046","tr|G1U155|G1U155_RABIT","tr|G1U155|G1U155_RABIT",0.42053883380867,0.916,FALSE,FALSE,-0.588,0.294,-0.294
"1047","tr|G1U2E6|G1U2E6_RABIT","tr|G1U2E6|G1U2E6_RABIT",0.0307690672141821,0.756,FALSE,FALSE,2.89,-1.45,1.45
"1048","tr|G1U2Q5|G1U2Q5_RABIT","tr|G1U2Q5|G1U2Q5_RABIT",0.244167514916999,0.897,FALSE,FALSE,-0.623,0.311,-0.311
"1049","tr|G1U2Z9|G1U2Z9_RABIT","tr|G1U2Z9|G1U2Z9_RABIT",0.199358863087412,0.889,FALSE,FALSE,0.409,-0.204,0.204
"1050","tr|G1U346|G1U346_RABIT","tr|G1U346|G1U346_RABIT",0.111878666891603,0.86,FALSE,FALSE,0.783,-0.392,0.392
"1051","tr|G1U3G0|G1U3G0_RABIT","tr|G1U3G0|G1U3G0_RABIT",0.0806530950550792,0.84,FALSE,FALSE,1.54,-0.772,0.772
"1052","tr|G1U3I5|G1U3I5_RABIT","tr|G1U3I5|G1U3I5_RABIT",0.244345753133259,0.897,FALSE,FALSE,-0.336,0.168,-0.168
"1053","tr|G1U410|G1U410_RABIT","tr|G1U410|G1U410_RABIT",0.462545931245645,0.919,FALSE,FALSE,0.377,-0.189,0.189
"1054","tr|G1U415|G1U415_RABIT","tr|G1U415|G1U415_RABIT",0.0255039579160252,0.734,FALSE,FALSE,-1.24,0.622,-0.622
"1055","tr|G1U460|G1U460_RABIT","tr|G1U460|G1U460_RABIT",0.709569862116111,0.932,FALSE,FALSE,0.11,-0.0552,0.0552
"1056","tr|G1U487|G1U487_RABIT","tr|G1U487|G1U487_RABIT",0.256938401656093,0.899,FALSE,FALSE,-1.02,0.509,-0.509
"1057","tr|G1U4D2|G1U4D2_RABIT","tr|G1U4D2|G1U4D2_RABIT",0.181103188306287,0.885,FALSE,FALSE,0.817,-0.408,0.408
"1058","tr|G1U4M1|G1U4M1_RABIT","tr|G1U4M1|G1U4M1_RABIT",0.117974867645939,0.863,FALSE,FALSE,-1.47,0.734,-0.734
"1059","tr|G1U598|G1U598_RABIT","tr|G1U598|G1U598_RABIT",0.228594216087082,0.894,FALSE,FALSE,-0.509,0.255,-0.255
"1060","tr|G1U5L6|G1U5L6_RABIT","tr|G1U5L6|G1U5L6_RABIT",0.996775502986403,0.941,FALSE,FALSE,0.0024,-0.0012,0.0012
"1061","tr|G1U5N5|G1U5N5_RABIT","tr|G1U5N5|G1U5N5_RABIT",0.997581136865414,0.941,FALSE,FALSE,0.0019,-0.00095,0.00095
"1062","tr|G1U5Q7|G1U5Q7_RABIT","tr|G1U5Q7|G1U5Q7_RABIT",0.0517481371515991,0.806,FALSE,FALSE,0.628,-0.314,0.314
"1063","tr|G1U5S4|G1U5S4_RABIT","tr|G1U5S4|G1U5S4_RABIT",0.749851740375239,0.933,FALSE,FALSE,-0.137,0.0686,-0.0686
"1064","tr|G1U5U0|G1U5U0_RABIT","tr|G1U5U0|G1U5U0_RABIT",0.239667214552321,0.896,FALSE,FALSE,0.403,-0.202,0.202
"1065","tr|G1U5X6|G1U5X6_RABIT","tr|G1U5X6|G1U5X6_RABIT",0.125215620791568,0.866,FALSE,FALSE,0.498,-0.249,0.249
"1066","tr|G1U642|G1U642_RABIT","tr|G1U642|G1U642_RABIT",0.782069328935854,0.935,FALSE,FALSE,0.183,-0.0917,0.0917
"1067","tr|G1U654|G1U654_RABIT","tr|G1U654|G1U654_RABIT",0.660611686367222,0.93,FALSE,FALSE,0.18,-0.0901,0.0901
"1068","tr|G1U6B2|G1U6B2_RABIT","tr|G1U6B2|G1U6B2_RABIT",0.138026668235115,0.872,FALSE,FALSE,0.572,-0.286,0.286
"1069","tr|G1U6D0|G1U6D0_RABIT","tr|G1U6D0|G1U6D0_RABIT",0.269217768676524,0.901,FALSE,FALSE,-0.507,0.253,-0.253
"1070","tr|G1U6R8|G1U6R8_RABIT","tr|G1U6R8|G1U6R8_RABIT",0.0585330431836478,0.817,FALSE,FALSE,-1.03,0.516,-0.516
"1071","tr|G1U6S0|G1U6S0_RABIT","tr|G1U6S0|G1U6S0_RABIT",0.0149340291912323,0.658,FALSE,FALSE,-0.97,0.485,-0.485
"1072","tr|G1U743|G1U743_RABIT","tr|G1U743|G1U743_RABIT",0.0451600861905639,0.794,FALSE,FALSE,0.983,-0.492,0.492
